OBJECTID,COUNTYFP,GEOID,CZ,POPe,HHe,CHILDe,CHILDi,CHILDz,CHILDp,CHILDq,SPHWCe,SPHWCi,SPHWCz,SPHWCp,SPHWCq,ELDERHHe,ELDERHHi,ELDERHHz,ELDERHHp,ELDERHHq,ELDERHHPVe,ELDERHHPVi,ELDERHHPVz,ELDERHHPVp,ELDERHHPVq,PTDe,PTDi,PTDz,PTDp,PTDq,HUNOVELe,HUNOVELi,HUNOVELz,HUNOVELp,HUNOVELq,VACHUe,VACHUi,VACHUz,VACHUp,VACHUq,RENTERe,RENTERi,RENTERz,RENTERp,RENTERq,NONWHITEe,NONWHITEi,NONWHITEz,NONWHITEp,NONWHITEq,GQe,GQi,GQz,GQp,GQq,YEAR20e,YEAR20i,YEAR20z,YEAR20p,YEAR20q,MOBILEe,MOBILEi,MOBILEz,MOBILEp,MOBILEq,POPVe,POPVi,POPVz,POPVp,POPVq,NOHSe,NOHSi,NOHSz,NOHSp,NOHSq,UNEMPe,UNEMPi,UNEMPz,UNEMPp,UNEMPq,SPENWe,SPENWi,SPENWz,SPENWp,SPENWq,RENTBURDN30e,RENTBURDN30i,RENTBURDN30z,RENTBURDN30p,RENTBURDN30q,NOINTNETe,NOINTNETi,NOINTNETz,NOINTNETp,NOINTNETq,MEDHVALe,MEDHVALz,MEDHVALp,MEDHVALq,CHILDCAREr,ELDERCAREr,TRANSNEEDr,SHELTNEEDr,CIVICCAPr,SVIr,CHILDCAREp,ELDERCAREp,TRANSNEEDp,SHELTNEEDp,CIVICCAPp,SVIp,CHILDCAREq,ELDERCAREq,TRANSNEEDq,SHELTNEEDq,CIVICCAPq,SVIq,CHILDCAREc,ELDERCAREc,TRANSNEEDc,SHELTNEEDc,CIVICCAPc,SVIc,Shape__Area,Shape__Length
4389,48057,48057000502,149,1796,687,172,9.577,0.825,0.817,4,112,16.303,0.515,0.73,3,277,40.32,1.548,0.936,4,21,3.057,0.036,0.662,3,0,0,-0.456,0,1,18,2.62,-0.449,0.426,2,736,51.722,4.341,0.994,3,305,16.982,0.246,-0.769,2,734,40.869,-0.577,0.339,2,0,0,-0.226,0,1,986,69.29,-0.034,0.378,2,458,32.186,2.012,0.942,5,118,6.57,-0.686,0.284,2,258,23.889,0.526,0.743,3,30,5,-0.088,0.553,3,141,8.682,0.189,0.724,4,108,81.818,2.055,0.979,5,107,15.575,0.189,0.645,2,108500,-0.522,0.295,2,0.774,0.799,0.213,0.31,0.666,0.617,0.851,0.863,0.261,0.371,0.741,0.707,5,3,2,1,4,5,5,4,2,1,4,4,1394681063.75781,251494.453422277
4390,48057,48057000402,149,3178,1272,247,7.772,0.302,0.662,3,70,5.503,-0.808,0.226,2,358,28.145,0.521,0.713,2,197,15.487,3.365,0.987,5,0,0,-0.456,0,1,34,2.673,-0.441,0.431,2,99,7.221,-0.401,0.403,1,725,23.23,0.367,-0.517,3,1769,55.664,-0.051,0.491,3,57,1.794,-0.033,0.843,3,1010,73.669,0.132,0.437,2,200,14.588,0.586,0.801,3,488,15.661,0.055,0.622,4,317,13.593,-0.206,0.531,2,16,1.065,-0.983,0.106,1,113,3.855,-0.362,0.525,3,107,37.544,-0.187,0.401,3,218,17.138,0.324,0.683,2,151500,-0.262,0.469,4,0.444,0.85,0.216,0.44,0.461,0.523,0.411,0.912,0.265,0.574,0.453,0.551,2,5,2,3,2,2,3,5,2,3,2,2,281313514.710938,95200.8765846167
4391,48057,48057000501,149,2044,755,125,6.115,-0.179,0.467,3,33,4.371,-0.947,0.175,1,311,41.192,1.622,0.944,5,12,1.589,-0.357,0.479,2,0,0,-0.456,0,1,11,1.457,-0.634,0.298,1,1256,62.456,5.485,0.999,5,319,15.645,0.219,-0.823,2,501,24.511,-1.159,0.157,1,5,0.245,-0.2,0.693,2,1169,58.13,-0.456,0.263,1,561,27.897,1.665,0.918,4,268,13.112,-0.153,0.546,3,165,11.702,-0.341,0.476,2,17,1.822,-0.811,0.181,2,25,1.303,-0.653,0.286,2,23,26.437,-0.749,0.21,2,139,18.411,0.433,0.715,3,170300,-0.148,0.555,5,0.321,0.712,0.149,0.393,0.415,0.415,0.249,0.763,0.186,0.499,0.38,0.355,2,3,1,2,1,1,2,3,1,2,1,1,429572074.722656,135487.209946253
4392,48057,48057000401,149,2846,1240,137,4.814,-0.557,0.295,2,245,19.758,0.938,0.829,5,257,20.726,-0.104,0.482,2,19,1.532,-0.372,0.47,2,0,0,-0.456,0,1,60,4.839,-0.097,0.605,5,784,38.735,2.957,0.981,3,1199,42.129,0.668,0.246,5,1484,52.143,-0.176,0.455,3,0,0,-0.226,0,1,1676,82.806,0.478,0.585,3,388,19.17,0.958,0.849,3,113,3.97,-0.898,0.177,1,301,14.381,-0.15,0.551,3,131,8.435,0.694,0.821,5,34,1.255,-0.659,0.279,2,225,42.533,0.066,0.51,4,99,7.984,-0.465,0.413,1,121200,-0.445,0.355,3,0.562,0.476,0.303,0.47,0.516,0.518,0.589,0.471,0.371,0.62,0.537,0.543,3,2,4,3,3,2,4,1,3,3,2,2,345349610.214844,94177.5826990576
4393,48201,48201453300,9,4464,1462,321,7.191,0.133,0.597,3,296,20.246,0.998,0.841,4,224,15.321,-0.56,0.306,3,8,0.547,-0.636,0.29,2,115,7.576,2.148,0.964,5,144,9.85,0.698,0.823,4,265,15.345,0.464,0.767,5,4407,98.723,0.977,2.53,5,4264,95.52,1.366,0.903,5,0,0,-0.226,0,1,1480,85.698,0.587,0.636,3,0,0,-0.596,0,1,1659,37.164,1.807,0.94,5,931,38.109,1.537,0.905,5,420,19.7,3.256,0.987,5,407,9.824,0.319,0.75,3,916,64.056,1.155,0.894,5,255,17.442,0.35,0.692,4,-1,-1.178,0,1,0.719,0.298,0.894,0.825,0.834,0.779,0.792,0.262,0.938,0.973,0.928,0.921,4,2,5,5,5,5,4,2,5,5,5,5,2723542.4921875,7638.12043282009
4394,48201,48201511600,9,3448,1424,163,4.727,-0.582,0.283,2,115,8.076,-0.493,0.355,2,240,16.854,-0.431,0.355,3,67,4.705,0.478,0.794,5,76,3.713,0.82,0.89,4,78,5.478,0.004,0.643,3,170,10.665,-0.034,0.583,4,1266,36.717,0.593,0.028,3,2361,68.474,0.404,0.609,3,0,0,-0.226,0,1,1274,79.925,0.369,0.534,3,0,0,-0.596,0,1,323,9.368,-0.458,0.407,2,842,32.485,1.137,0.853,4,74,3.45,-0.44,0.38,2,506,15.403,0.955,0.851,4,260,47.619,0.323,0.619,3,208,14.607,0.106,0.617,4,323000,0.775,0.857,5,0.319,0.575,0.767,0.309,0.675,0.563,0.246,0.596,0.851,0.369,0.753,0.614,1,4,4,2,4,3,2,4,4,3,4,4,2597844.328125,7446.55528997044
4395,48201,48201520100,9,2468,1007,126,5.105,-0.472,0.332,2,94,9.335,-0.339,0.427,2,116,11.519,-0.881,0.193,2,6,0.596,-0.623,0.301,2,11,0.754,-0.197,0.653,2,19,1.887,-0.566,0.347,2,176,14.877,0.415,0.751,5,1109,44.935,0.7,0.359,3,1299,52.634,-0.159,0.459,2,0,0,-0.226,0,1,438,37.025,-1.255,0.141,1,0,0,-0.596,0,1,173,7.01,-0.65,0.305,2,163,9.628,-0.488,0.407,2,15,0.995,-0.999,0.1,1,99,4.227,-0.32,0.548,2,147,28.215,-0.659,0.235,1,43,4.27,-0.785,0.265,2,504600,1.873,0.962,5,0.38,0.247,0.5,0.288,0.33,0.357,0.325,0.217,0.647,0.34,0.254,0.252,2,2,3,2,2,2,2,2,3,2,2,2,3932178.39453125,8223.22063099094
4396,48029,48029131300,69,6633,1989,300,4.523,-0.641,0.257,1,236,11.865,-0.029,0.553,3,857,43.087,1.781,0.96,5,57,2.866,-0.015,0.642,3,36,1.377,0.017,0.736,3,144,7.24,0.284,0.737,4,190,8.72,-0.242,0.488,4,1092,16.476,0.235,-0.789,1,5534,83.431,0.936,0.748,4,5,0.075,-0.218,0.614,3,1922,88.206,0.682,0.685,3,0,0,-0.596,0,1,976,15.015,0.002,0.603,3,534,11.427,-0.36,0.466,3,35,1.321,-0.925,0.128,1,108,1.705,-0.607,0.333,2,181,40.402,-0.042,0.46,2,391,19.658,0.541,0.742,4,117800,-0.466,0.341,2,0.405,0.801,0.737,0.336,0.417,0.569,0.357,0.865,0.828,0.41,0.384,0.623,2,5,4,2,2,3,2,5,4,3,3,3,7067435.68359375,12059.113566275
4397,48245,48245000900,118,1991,680,342,17.177,3.031,0.991,5,322,47.353,4.32,0.999,5,113,16.618,-0.451,0.347,1,15,2.206,-0.192,0.566,3,7,1.205,-0.042,0.716,4,80,11.765,1.002,0.864,4,181,21.022,1.069,0.881,5,1101,60.329,0.833,0.98,5,1796,90.206,1.177,0.825,4,166,8.338,0.673,0.954,5,557,64.692,-0.208,0.323,2,0,0,-0.596,0,1,920,49.542,2.815,0.984,5,247,23.773,0.518,0.743,4,15,2.5,-0.657,0.262,2,65,3.942,-0.352,0.53,3,225,51.843,0.537,0.706,4,237,34.853,1.849,0.944,5,75900,-0.719,0.148,2,0.995,0.457,0.79,0.707,0.62,0.781,0.999,0.448,0.868,0.911,0.681,0.923,5,2,5,5,3,5,5,2,5,5,4,5,2657927.296875,6709.83229064679
4398,48245,48245002000,118,2539,846,219,8.625,0.549,0.741,4,112,13.239,0.14,0.611,3,268,31.678,0.819,0.802,5,21,2.482,-0.117,0.601,3,1,0.131,-0.411,0.551,4,50,5.91,0.073,0.669,3,153,15.315,0.461,0.766,4,1072,42.59,0.673,0.265,4,2432,95.786,1.376,0.908,5,22,0.866,-0.133,0.782,4,909,90.991,0.787,0.742,4,22,2.202,-0.417,0.591,4,666,26.262,0.918,0.827,4,639,40.753,1.725,0.924,5,20,2.497,-0.657,0.261,2,372,16.034,1.027,0.86,5,188,58.204,0.859,0.821,5,275,32.506,1.647,0.925,4,56300,-0.838,0.083,2,0.676,0.702,0.61,0.697,0.743,0.793,0.741,0.752,0.73,0.904,0.837,0.933,4,4,4,5,4,5,4,4,5,5,5,5,1534870.35546875,5104.9897863414
4399,48245,48245011600,118,2279,826,218,9.566,0.822,0.816,4,43,5.206,-0.845,0.213,2,231,27.966,0.506,0.707,4,13,1.574,-0.361,0.476,2,3,0.318,-0.347,0.575,4,21,2.542,-0.462,0.419,2,140,14.493,0.374,0.741,3,144,6.36,0.071,-1.197,1,481,21.106,-1.28,0.121,1,15,0.658,-0.155,0.763,4,506,52.381,-0.674,0.221,1,125,12.94,0.453,0.785,5,136,6.007,-0.732,0.258,1,264,17.311,0.058,0.623,3,68,6.667,0.291,0.705,4,83,4.027,-0.343,0.536,4,8,15.385,-1.309,0.102,1,125,15.133,0.151,0.632,2,135400,-0.36,0.411,4,0.515,0.592,0.497,0.242,0.624,0.549,0.522,0.617,0.644,0.277,0.686,0.593,3,3,4,1,3,3,3,2,4,1,4,3,1466456907.35547,189338.167101613
4400,48201,48201453800,9,3804,1090,157,4.127,-0.756,0.212,1,184,16.881,0.586,0.747,4,303,27.798,0.492,0.701,5,37,3.394,0.127,0.694,4,30,1.784,0.157,0.777,3,71,6.514,0.168,0.7,4,38,3.369,-0.812,0.184,1,1261,33.316,0.543,-0.11,2,3435,90.3,1.18,0.827,4,19,0.499,-0.172,0.743,5,1095,97.074,1.018,0.894,5,0,0,-0.596,0,1,772,20.675,0.463,0.738,4,595,24.207,0.548,0.749,4,90,4.992,-0.09,0.553,3,513,14.066,0.803,0.833,4,212,62.722,1.088,0.882,5,138,12.661,-0.062,0.559,4,144100,-0.307,0.442,3,0.48,0.698,0.739,0.468,0.674,0.683,0.467,0.746,0.829,0.618,0.753,0.805,2,5,4,3,4,4,3,5,4,4,4,4,2444290.75,8609.54273364463
4401,48317,48317950100,333,1998,568,132,6.607,-0.037,0.528,1,27,4.754,-0.9,0.192,1,171,30.106,0.687,0.764,2,17,2.993,0.019,0.656,2,0,0,-0.456,0,1,0,0,-0.865,0,1,76,11.801,0.087,0.637,1,496,24.825,0.399,-0.452,1,752,37.638,-0.692,0.298,1,0,0,-0.226,0,1,502,77.95,0.294,0.501,1,161,25,1.43,0.897,2,88,4.413,-0.862,0.194,1,228,19.421,0.208,0.666,1,29,2.929,-0.559,0.313,1,102,5.466,-0.178,0.615,2,2,1.887,-1.992,0.054,1,110,19.366,0.516,0.735,1,163400,-0.19,0.526,2,0.36,0.71,0,0.296,0.582,0.407,0.298,0.761,0,0.35,0.628,0.34,1,2,2,1,1,1,1,5,2,2,4,2,2781913325.875,241896.730758508
4402,48317,48317950200,333,3678,1154,314,8.537,0.524,0.735,2,104,9.012,-0.378,0.408,2,238,20.624,-0.113,0.477,1,14,1.213,-0.457,0.42,1,0,0,-0.456,0,1,0,0,-0.865,0,1,178,13.363,0.253,0.701,2,1695,46.72,0.722,0.431,2,2013,54.731,-0.084,0.48,2,50,1.359,-0.08,0.816,2,1049,78.754,0.324,0.515,2,183,13.739,0.517,0.793,1,487,13.423,-0.128,0.555,2,452,22.06,0.396,0.713,2,78,4.704,-0.155,0.525,2,89,2.646,-0.5,0.428,1,82,19.807,-1.085,0.14,2,245,21.231,0.676,0.774,2,119800,-0.454,0.349,1,0.572,0.449,0,0.613,0.61,0.505,0.603,0.438,0,0.817,0.669,0.521,2,1,1,2,2,2,4,3,1,5,4,3,547632012.097656,96361.1158790336
4403,48245,48245010100,118,2722,842,157,5.768,-0.28,0.424,2,122,14.489,0.293,0.662,4,135,16.033,-0.5,0.329,1,19,2.257,-0.178,0.574,3,0,0,-0.456,0,1,61,7.245,0.284,0.737,3,265,23.939,1.38,0.914,5,993,36.481,0.59,0.018,3,2364,86.848,1.058,0.784,4,0,0,-0.226,0,1,987,89.16,0.718,0.705,4,0,0,-0.596,0,1,857,31.729,1.364,0.896,5,935,56.224,2.825,0.986,5,104,9.72,0.986,0.874,4,595,23.197,1.844,0.931,5,145,49.828,0.435,0.667,4,331,39.311,2.233,0.968,5,39600,-0.939,0.062,1,0.543,0.452,0.369,0.474,0.94,0.616,0.56,0.442,0.461,0.625,0.991,0.705,3,2,3,3,5,3,4,2,3,3,5,4,1794286.27734375,5572.58223645858
4404,48245,48245011101,118,4572,1836,165,3.609,-0.907,0.165,2,188,10.24,-0.228,0.475,3,450,24.51,0.215,0.609,3,16,0.871,-0.549,0.355,2,0,0,-0.456,0,1,20,1.089,-0.692,0.256,2,106,5.458,-0.589,0.303,1,1338,29.265,0.48,-0.273,3,941,20.582,-1.298,0.116,1,0,0,-0.226,0,1,1752,90.216,0.758,0.727,4,24,1.236,-0.496,0.532,3,363,7.94,-0.574,0.345,2,195,6.262,-0.727,0.282,1,35,1.448,-0.896,0.141,1,41,0.93,-0.696,0.232,2,249,40.753,-0.025,0.468,3,215,11.71,-0.144,0.531,2,155400,-0.239,0.487,4,0.32,0.482,0.128,0.25,0.297,0.278,0.248,0.479,0.16,0.289,0.212,0.136,1,2,1,2,1,1,2,2,1,2,1,1,4817773,8967.35695200988
4405,48245,48245001303,118,3163,1296,77,2.434,-1.247,0.086,1,49,3.781,-1.019,0.147,1,331,25.54,0.302,0.636,3,7,0.54,-0.638,0.289,1,0,0,-0.456,0,1,8,0.617,-0.767,0.196,1,172,11.717,0.078,0.633,3,490,15.492,0.216,-0.829,1,2007,63.452,0.226,0.564,3,0,0,-0.226,0,1,1127,76.771,0.249,0.482,2,64,4.36,-0.243,0.653,4,370,11.698,-0.268,0.495,2,60,2.554,-0.991,0.13,1,195,11.691,1.434,0.924,5,35,1.134,-0.673,0.262,2,53,17.097,-1.222,0.117,1,171,13.194,-0.016,0.574,2,224200,0.178,0.702,5,0.117,0.463,0.098,0.285,0.473,0.289,0.06,0.455,0.125,0.335,0.472,0.149,1,2,1,2,2,1,1,2,1,2,2,1,35962694.1679688,30295.9031662455
4406,48245,48245006900,118,3264,1408,205,6.281,-0.131,0.487,3,26,1.847,-1.256,0.076,1,311,22.088,0.011,0.526,3,38,2.699,-0.059,0.625,3,7,0.534,-0.272,0.613,4,135,9.588,0.656,0.816,4,530,27.348,1.744,0.944,5,1237,37.898,0.609,0.075,3,2269,69.516,0.442,0.618,3,0,0,-0.226,0,1,1047,54.025,-0.611,0.234,1,38,1.961,-0.437,0.579,4,421,12.898,-0.17,0.538,3,412,16.858,0.026,0.612,3,269,16.718,2.578,0.979,5,216,7.061,0.004,0.676,4,314,50.891,0.489,0.689,4,289,20.526,0.615,0.759,3,136400,-0.353,0.414,4,0.282,0.576,0.715,0.427,0.757,0.603,0.204,0.597,0.81,0.555,0.851,0.685,1,3,4,3,5,3,1,2,5,3,5,4,66163499.7539062,55733.2252356069
4407,48245,48245000103,118,3355,1206,521,15.529,2.553,0.984,5,503,41.708,3.628,0.998,5,275,22.803,0.071,0.549,3,43,3.566,0.173,0.707,4,0,0,-0.456,0,1,184,15.257,1.556,0.923,5,132,9.865,-0.12,0.544,2,2121,63.484,0.854,1.108,5,2873,85.633,1.015,0.771,4,14,0.417,-0.181,0.731,4,962,71.898,0.065,0.415,2,0,0,-0.596,0,1,1727,51.475,2.973,0.987,5,240,14.043,-0.174,0.543,3,127,12.259,1.563,0.935,5,33,1.164,-0.669,0.266,2,469,60.438,0.972,0.854,5,339,28.109,1.268,0.881,4,91100,-0.627,0.222,3,0.991,0.628,0.462,0.651,0.656,0.77,0.998,0.66,0.603,0.861,0.727,0.913,5,3,3,4,4,5,5,3,4,5,4,5,26600862.6914062,26925.0227358361
4408,48013,48013960601,69,3498,1161,161,4.603,-0.618,0.267,1,119,10.25,-0.227,0.475,1,341,29.371,0.625,0.746,4,159,13.695,2.885,0.981,5,0,0,-0.456,0,1,113,9.733,0.679,0.82,5,208,15.194,0.448,0.761,3,713,20.436,0.312,-0.629,3,2069,59.148,0.073,0.523,2,9,0.257,-0.199,0.697,3,821,59.971,-0.386,0.278,1,488,35.646,2.293,0.956,3,674,19.318,0.353,0.712,5,564,27.62,0.791,0.797,4,320,20.539,3.447,0.989,5,280,8.391,0.155,0.718,4,164,44.324,0.156,0.549,5,270,23.256,0.85,0.811,4,101400,-0.565,0.27,3,0.371,0.864,0.41,0.471,0.829,0.661,0.313,0.923,0.526,0.621,0.923,0.773,1,5,5,3,5,5,2,5,3,4,5,4,164105635.238281,82489.1749693136
4409,48013,48013960404,69,4730,1460,480,10.148,0.991,0.851,5,240,16.438,0.532,0.734,5,501,34.315,1.042,0.857,5,0,0,-0.782,0,1,0,0,-0.456,0,1,45,3.082,-0.376,0.468,1,50,3.311,-0.818,0.182,1,813,17.188,0.25,-0.76,2,1762,37.252,-0.706,0.293,1,0,0,-0.226,0,1,1160,76.821,0.251,0.482,4,161,10.662,0.268,0.756,1,104,2.199,-1.042,0.093,1,162,5.462,-0.784,0.25,1,88,5.11,-0.063,0.567,2,0,0,-0.802,0,1,129,58.371,0.867,0.823,5,65,4.452,-0.769,0.273,1,218000,0.14,0.689,5,0.793,0.429,0.234,0.149,0.273,0.383,0.868,0.414,0.285,0.17,0.178,0.294,5,1,1,1,1,1,5,2,2,1,1,2,57971231.2421875,44629.9824045394
4410,48013,48013960602,69,3206,1280,203,6.332,-0.116,0.494,2,146,11.406,-0.085,0.529,2,370,28.906,0.586,0.735,3,8,0.625,-0.615,0.305,2,0,0,-0.456,0,1,107,8.359,0.461,0.778,4,455,26.225,1.624,0.936,5,720,22.872,0.359,-0.531,3,1173,36.588,-0.729,0.286,1,58,1.809,-0.031,0.844,4,1292,74.467,0.162,0.448,3,289,16.657,0.754,0.821,1,27,0.858,-1.151,0.039,1,240,10.426,-0.431,0.433,1,92,6.52,0.258,0.692,3,22,0.733,-0.718,0.202,1,119,38.636,-0.132,0.423,4,124,9.688,-0.318,0.464,2,125600,-0.419,0.375,4,0.512,0.52,0.389,0.406,0.448,0.497,0.514,0.526,0.492,0.52,0.433,0.506,2,2,4,3,1,2,3,3,3,3,3,3,900562286.382812,178760.248755376
4411,48013,48013960102,69,4600,1506,433,9.413,0.778,0.803,4,66,4.382,-0.946,0.176,1,472,31.341,0.791,0.794,4,51,3.386,0.125,0.693,3,0,0,-0.456,0,1,62,4.117,-0.212,0.558,2,232,13.349,0.252,0.701,2,2641,57.413,0.814,0.863,5,3212,69.826,0.453,0.621,2,0,0,-0.226,0,1,1300,74.799,0.175,0.453,3,645,37.112,2.411,0.962,3,395,8.64,-0.517,0.378,2,688,23.675,0.511,0.74,3,82,4.38,-0.229,0.49,2,120,2.88,-0.474,0.45,3,27,4.623,-1.854,0.059,1,272,18.061,0.403,0.706,3,117300,-0.469,0.339,3,0.49,0.744,0.279,0.568,0.597,0.606,0.481,0.8,0.336,0.762,0.651,0.689,2,4,2,4,2,3,3,4,2,4,4,4,1064449108.35547,164697.562933534
4412,48013,48013960403,69,3982,1376,302,7.584,0.247,0.641,3,158,11.483,-0.076,0.531,2,485,35.247,1.12,0.873,5,79,5.741,0.755,0.844,4,0,0,-0.456,0,1,126,9.157,0.588,0.804,5,327,19.201,0.875,0.855,4,1864,49.391,0.75,0.539,5,2119,53.214,-0.138,0.465,1,208,5.224,0.337,0.936,5,1358,79.742,0.362,0.531,5,296,17.381,0.813,0.829,1,466,12.632,-0.192,0.528,3,448,18.152,0.118,0.642,2,38,2.458,-0.666,0.256,1,81,2.201,-0.551,0.384,2,125,28.09,-0.666,0.232,4,351,25.509,1.044,0.844,4,113600,-0.491,0.318,3,0.586,0.859,0.402,0.669,0.532,0.698,0.623,0.919,0.514,0.879,0.557,0.824,3,5,5,5,2,5,4,5,3,5,3,4,16805518.8125,21168.6678383027
4413,48013,48013960204,69,3397,969,264,7.772,0.301,0.662,3,123,12.693,0.073,0.59,2,157,16.202,-0.486,0.333,1,0,0,-0.782,0,1,0,0,-0.456,0,1,78,8.05,0.412,0.768,4,209,17.742,0.72,0.823,3,282,8.301,0.097,-1.119,1,2236,65.823,0.31,0.587,2,0,0,-0.226,0,1,807,68.506,-0.063,0.367,2,522,44.312,2.995,0.978,4,87,2.561,-1.013,0.109,1,318,14.695,-0.128,0.558,1,66,4.19,-0.272,0.464,1,34,1.085,-0.678,0.254,2,8,9.412,-1.611,0.074,1,17,1.754,-1.001,0.142,1,119900,-0.453,0.35,4,0.626,0.167,0.384,0.249,0.355,0.381,0.681,0.159,0.485,0.288,0.291,0.29,4,1,4,1,1,1,4,1,3,2,2,2,264852241.800781,78051.2636824336
4414,48013,48013960101,69,3671,1007,372,10.133,0.987,0.85,5,149,14.796,0.33,0.674,4,240,23.833,0.158,0.586,2,0,0,-0.782,0,1,0,0,-0.456,0,1,20,1.986,-0.55,0.36,1,239,19.181,0.873,0.854,4,193,5.257,0.06,-1.242,1,2595,70.689,0.483,0.629,3,0,0,-0.226,0,1,871,69.904,-0.01,0.388,2,584,46.87,3.202,0.981,5,421,11.698,-0.268,0.494,2,610,24.025,0.535,0.746,3,260,15.476,2.295,0.97,5,337,10.215,0.363,0.757,5,28,27.451,-0.698,0.223,3,75,7.448,-0.511,0.394,1,132300,-0.378,0.399,5,0.762,0.293,0.18,0.301,0.717,0.497,0.84,0.258,0.223,0.357,0.808,0.506,5,1,1,2,4,2,5,1,2,2,5,3,210640910.847656,63574.0626994196
4415,48013,48013960206,69,6031,1783,286,4.742,-0.578,0.285,1,241,13.517,0.174,0.625,3,494,27.706,0.484,0.699,3,24,1.346,-0.422,0.442,2,0,0,-0.456,0,1,0,0,-0.865,0,1,274,13.32,0.249,0.7,2,498,8.257,0.096,-1.121,1,4770,79.091,0.782,0.707,4,0,0,-0.226,0,1,1240,60.282,-0.375,0.281,1,958,46.573,3.178,0.981,4,215,3.603,-0.928,0.158,2,936,25.202,0.619,0.763,4,87,3.34,-0.465,0.365,1,887,15.44,0.959,0.851,5,3,2.027,-1.985,0.054,1,214,12.002,-0.119,0.541,2,67300,-0.771,0.116,1,0.455,0.571,0,0.244,0.63,0.399,0.428,0.59,0,0.281,0.694,0.327,1,3,1,1,3,1,2,3,1,2,4,2,175950712.601562,91177.4225351034
4416,48013,48013960203,69,2760,792,33,1.196,-1.607,0.04,1,180,22.727,1.302,0.894,5,185,23.359,0.118,0.57,2,9,1.136,-0.478,0.406,2,0,0,-0.456,0,1,26,3.283,-0.344,0.486,2,144,15.385,0.469,0.769,3,780,28.953,0.475,-0.286,4,2107,76.341,0.684,0.68,3,66,2.391,0.032,0.875,5,748,79.915,0.368,0.534,5,369,39.423,2.599,0.968,3,404,15.103,0.009,0.606,3,315,17.979,0.106,0.638,2,88,7.097,0.389,0.74,3,19,0.697,-0.723,0.196,1,52,23.009,-0.923,0.171,3,124,15.657,0.196,0.647,3,89500,-0.637,0.215,2,0.467,0.488,0.243,0.592,0.555,0.522,0.447,0.486,0.294,0.791,0.592,0.549,1,2,2,4,2,2,3,3,2,5,3,3,30627859.4140625,27605.1299291087
4417,48013,48013960205,69,5750,1714,417,7.252,0.151,0.605,3,237,13.827,0.212,0.636,3,394,22.987,0.086,0.556,1,135,7.876,1.327,0.911,5,0,0,-0.456,0,1,95,5.543,0.014,0.648,3,229,11.786,0.085,0.636,2,964,16.765,0.24,-0.777,2,4769,82.939,0.919,0.743,5,0,0,-0.226,0,1,1041,53.577,-0.628,0.23,1,923,47.504,3.253,0.982,5,1043,18.139,0.257,0.683,4,888,24.66,0.581,0.756,3,174,7.259,0.426,0.75,4,382,7.163,0.015,0.681,4,49,12.532,-1.453,0.087,2,214,12.485,-0.077,0.554,2,97600,-0.588,0.253,2,0.621,0.734,0.324,0.357,0.685,0.614,0.673,0.79,0.401,0.44,0.767,0.702,4,3,3,2,3,3,4,4,2,3,4,4,249305120.96875,87399.3088026452
4418,48201,48201454000,9,5043,1350,405,8.031,0.377,0.687,4,122,9.037,-0.375,0.409,2,317,23.481,0.128,0.573,4,45,3.333,0.11,0.688,4,59,2.404,0.37,0.827,4,48,3.556,-0.301,0.51,3,17,1.244,-1.039,0.095,1,693,13.854,0.185,-0.895,1,4596,91.136,1.21,0.837,4,41,0.813,-0.139,0.779,5,1242,90.856,0.782,0.739,4,0,0,-0.596,0,1,209,4.178,-0.881,0.185,1,576,16.926,0.031,0.614,3,223,8.229,0.647,0.809,4,633,13.648,0.755,0.825,4,99,44.196,0.15,0.546,3,105,7.778,-0.482,0.406,3,153900,-0.248,0.481,3,0.548,0.631,0.669,0.249,0.664,0.607,0.568,0.663,0.776,0.288,0.738,0.691,3,4,4,2,4,3,3,4,4,2,4,4,2779659.32421875,7780.6815136596
4419,48309,48309003602,283,2936,1038,281,9.571,0.824,0.817,4,126,12.139,0.005,0.564,3,191,18.401,-0.3,0.407,2,4,0.385,-0.679,0.263,2,6,0.444,-0.304,0.599,4,16,1.541,-0.62,0.307,2,169,14.002,0.321,0.722,4,638,21.947,0.34,-0.568,2,611,20.811,-1.29,0.117,2,29,0.988,-0.12,0.79,3,898,74.399,0.16,0.447,2,278,23.032,1.271,0.882,5,326,11.104,-0.317,0.473,2,219,12.086,-0.313,0.487,3,19,1.379,-0.912,0.133,1,0,0,-0.802,0,1,33,15.068,-1.325,0.1,1,264,25.434,1.038,0.842,5,109600,-0.516,0.299,3,0.691,0.335,0.453,0.409,0.366,0.496,0.759,0.3,0.589,0.524,0.31,0.504,4,1,4,2,2,3,4,1,4,3,2,3,202201475.007812,78269.79977139
